"id","condition","startTime","endTime","gender","age","education","takenGRE","familiarity","ethnicity","preference","difficulty","improvement","why","thoughts","q1ai1","q1ai2","q2ai1","q2ai2","ai1_concepts","ai2_concepts","ai1_correct","ai2_correct","ai1_friendly","ai2_friendly","ai1_trust","ai2_trust","ai1_relevant","ai2_relevant","ai1_correct1","ai1_correct2","ai2_correct1","ai2_correct2","order","ai_diff_concepts","ai_diff_correct","ai_diff_friendly","ai_diff_trust","ai_diff_relevant","preference_2","ai1_correct_cnt","ai2_correct_cnt","mary_correct_cnt","james_correct_cnt"
"160d84aa42f2894a5b1850c7010e1be6","['Mary', 'James']","15:08:57 GMT-0500 (Eastern Standard Time)","15:27:09 GMT-0500 (Eastern Standard Time)","0","31-35","7","0","4","White","Equal","Mary","Equal","It was kind of hard to compare since they both covered different topics, but I felt both delivered the same quality of explanation.","I don't have any particular thoughts.",1,2,2,4,6,6,7,7,6,6,5,6,7,7,1,3,2,4,1,0,0,0,-1,0,"Equal",1,2,1,1
"1d6e423829ba87ef9bef803a22149ee1","['James', 'Mary']","19:44:59 GMT-0500 (Eastern Standard Time)","19:48:39 GMT-0500 (Eastern Standard Time)","0","31-35","2","0","1","White","Mary","James","James","","",3,2,2,4,3,6,5,6,5,6,5,6,5,4,1,3,2,4,0,3,1,1,1,-1,"Mary",0,2,2,2
"1d6e423829ba87ef9bef803a223c3a16","['James', 'Mary']","22:25:01 GMT-0500 (Eastern Standard Time)","22:26:33 GMT-0500 (Eastern Standard Time)","1","26-30","8","1","2","White","Mary","Mary","Mary","","",3,3,2,3,6,6,6,6,4,5,6,6,6,5,1,3,2,4,0,0,0,1,0,-1,"Mary",0,0,0,0
"2e74fec63a39d242ac7e6b61d40fdc7f","['James', 'Mary']","12:47:01 GMT-0600 (Central Standard Time)","12:50:47 GMT-0600 (Central Standard Time)","1","21-25","7","1","3","Black","Mary","James","James","","",4,5,2,2,2,6,4,7,6,7,5,7,5,6,1,3,2,4,0,4,3,1,2,1,"Mary",0,0,0,0
"38b3a8411ea2b0e40b0ae54720ff8128","['Mary', 'James']","19:41:16 GMT-0600 (Central Standard Time)","19:55:49 GMT-0600 (Central Standard Time)","0","21-25","7","0","3","Black","Mary","James","James","","I'd like to point out that math isn't my strong suit but it felt like when I was given questions for James, I felt like I wasn't taught some of that information.",4,1,2,2,5,4,5,6,7,7,7,6,7,5,1,3,2,4,1,1,-1,0,1,2,"Mary",0,0,0,0
"40f21f4fda553aacfc1606710f308dcc","['Mary', 'James']","22:17:50 GMT-0600 (Central Standard Time)","22:25:06 GMT-0600 (Central Standard Time)","1","36-40","4","0","5","White","Mary","Mary","James","I don't feel like he explained everything that was asked","",1,5,5,2,5,6,6,2,5,6,5,6,7,5,1,3,2,4,1,-1,4,-1,-1,2,"Mary",1,0,1,1
"40f21f4fda553aacfc1606710f352d6c","['Mary', 'James']","12:17:09 GMT+0800 (Singapore Standard Time)","12:46:12 GMT+0800 (Singapore Standard Time)","0","26-30","7","0","3","White","Equal","Equal","Equal","","",2,1,3,4,5,4,4,4,4,4,4,4,5,5,1,3,2,4,1,1,0,0,0,0,"Equal",1,1,1,1
"4595b2e283297b684acc1193f6afe38f","['Mary', 'James']","15:07:02 GMT-0500 (Eastern Standard Time)","15:17:37 GMT-0500 (Eastern Standard Time)","0","36-40","3","0","2","White","Mary","Equal","James","","",1,1,3,2,6,3,7,4,6,5,5,4,7,4,1,3,2,4,1,3,3,1,1,3,"Mary",2,0,2,2
"4595b2e283297b684acc1193f6fe5ab6","['James', 'Mary']","19:13:07 GMT-0500 (Eastern Standard Time)","19:18:37 GMT-0500 (Eastern Standard Time)","1","26-30","3","0","3","Black","James","James","Mary","Mary's answers were outright wrong in some places.","I hate math.",2,1,2,2,5,5,6,1,4,4,7,2,7,4,1,3,2,4,0,0,-5,0,-5,-3,"James",0,0,0,0
"51a9053f7add2c0258d202301f038aca","['James', 'Mary']","15:29:06 GMT-0500 (Eastern Standard Time)","15:36:38 GMT-0500 (Eastern Standard Time)","0","21-25","9","1","5","White","James","James","Mary","I didn't think her explanations made much sense","",1,1,3,2,5,3,7,5,4,2,5,4,7,6,1,3,2,4,0,-2,-2,-2,-1,-1,"James",2,0,0,0
